"","genes","Description","ENSEMBL","logFC","logCPM","F","PValue","FDR","Significance"
"15864","KRT13","keratin 13 [Source:HGNC Symbol;Acc:HGNC:6415]","ENSG00000171401",-8.0596492045617,3.84328767132222,14.3083526017346,0.000807401391639001,1,"Down"
"2534","CTNNA2","catenin alpha 2 [Source:HGNC Symbol;Acc:HGNC:2510]","ENSG00000066032",0.604929826287799,8.59742974525346,14.2842859359096,0.000814100937349712,1,"No"
"12984","SERPINE3","serpin family E member 3 [Source:HGNC Symbol;Acc:HGNC:24774]","ENSG00000253309",-2.44218707391566,-0.0171737643148003,14.2564353462694,0.000821928998849272,1,"Down"
"14393","GNG13","G protein subunit gamma 13 [Source:HGNC Symbol;Acc:HGNC:14131]","ENSG00000127588",-3.58326666150849,-0.651409775494887,14.2082439648757,0.000835667390092139,1,"Down"
"9373","LCN2","lipocalin 2 [Source:HGNC Symbol;Acc:HGNC:6526]","ENSG00000148346",-10.5919281895116,3.57257351975238,14.0842712633591,0.000872164631276373,1,"Down"
"15522","EVPL","envoplakin [Source:HGNC Symbol;Acc:HGNC:3503]","ENSG00000167880",-6.26026513784494,0.614405319326532,13.8597816865669,0.000942720341940221,1,"Down"
"11663","COL17A1","collagen type XVII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2194]","ENSG00000065618",-4.99691372388438,1.21999682515389,13.6744346401971,0.00100563544738135,1,"Down"
"10021","BEST1","bestrophin 1 [Source:HGNC Symbol;Acc:HGNC:12703]","ENSG00000167995",-2.12602621126828,4.05258359360594,13.5059935682612,0.00106676660774185,1,"Down"
"8268","GABRQ","gamma-aminobutyric acid type A receptor subunit theta [Source:HGNC Symbol;Acc:HGNC:14454]","ENSG00000268089",1.1878164671335,4.96447633615332,13.4527676726775,0.00108691091314269,1,"No"
"10641","TPH1","tryptophan hydroxylase 1 [Source:HGNC Symbol;Acc:HGNC:12008]","ENSG00000129167",-2.99191544666743,1.30975871860718,13.0801540384806,0.00124001175379099,1,"Down"
"1566","TACSTD2","tumor associated calcium signal transducer 2 [Source:HGNC Symbol;Acc:HGNC:11530]","ENSG00000184292",-7.6739849985996,2.94714594874287,12.8761954602534,0.00133358307768744,1,"Down"
"1311","PKP1","plakophilin 1 [Source:HGNC Symbol;Acc:HGNC:9023]","ENSG00000081277",-6.18842264074816,0.604589751623842,12.7416837798833,0.00139946427785661,1,"Down"
"9039","TCIM","transcriptional and immune response regulator [Source:HGNC Symbol;Acc:HGNC:1357]","ENSG00000176907",-1.00172117241006,3.97202333671176,12.4587899706974,0.00154982121613353,1,"No"
"12422","PMEL","premelanosome protein [Source:HGNC Symbol;Acc:HGNC:10880]","ENSG00000185664",-4.14063434255205,2.22142812561328,12.2809912659972,0.00165322295518014,1,"Down"
"13918","RLBP1","retinaldehyde binding protein 1 [Source:HGNC Symbol;Acc:HGNC:10024]","ENSG00000140522",-2.20348556078161,1.62522756114392,12.2708208616941,0.0016593596587541,1,"Down"
"11026","PRRG4","proline rich and Gla domain 4 [Source:HGNC Symbol;Acc:HGNC:30799]","ENSG00000135378",-3.56858775837679,-0.482939411097714,12.0872454378579,0.0017744800570184,1,"Down"
"15865","KRT19","keratin 19 [Source:HGNC Symbol;Acc:HGNC:6436]","ENSG00000171345",-7.18255229629143,4.35239351250385,12.0492056846031,0.00179940134677319,1,"Down"
"5838","CXCL14","C-X-C motif chemokine ligand 14 [Source:HGNC Symbol;Acc:HGNC:10640]","ENSG00000145824",-1.56743648683032,6.17780056451211,11.9440193413724,0.00187030981547708,1,"Down"
"18524","PICK1","protein interacting with PRKCA 1 [Source:HGNC Symbol;Acc:HGNC:9394]","ENSG00000100151",-0.309293405532239,4.74912022314292,11.9420879096186,0.00187163983601148,1,"No"
"11079","RBP3","retinol binding protein 3 [Source:HGNC Symbol;Acc:HGNC:9921]","ENSG00000265203",-2.58183738451117,-0.82074090712235,11.5198649403161,0.00218857162741803,1,"Down"
"5389","HINT1","histidine triad nucleotide binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4912]","ENSG00000169567",-0.247079858512033,6.74731575741955,11.4111696542728,0.00227927750900927,1,"No"
"538","DAP3","death associated protein 3 [Source:HGNC Symbol;Acc:HGNC:2673]","ENSG00000132676",-0.275253608602321,5.88625187697779,11.4003010641521,0.0022885691863896,1,"No"
"1125","RASSF5","Ras association domain family member 5 [Source:HGNC Symbol;Acc:HGNC:17609]","ENSG00000266094",-1.02403217062439,1.70177426561912,11.3267890683392,0.0023525048011131,1,"No"
"301","LAMC2","laminin subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:6493]","ENSG00000058085",-5.91468031359508,1.77034721819151,11.1723759826318,0.00249320531441734,1,"Down"
